article;Damm, Lars-Ola and Lundberg, Lars and Olsson, David;Introducing Test Automation and Test-Driven Development;2005;116;C;Electron. Notes Theor. Comput. Sci.;
article;Erdogmus, Hakan and Morisio, Maurizio and Torchiano, Marco;On the Effectiveness of the Test-First Approach to Programming;2005;31;3;IEEE Trans. Softw. Eng.;10.1109/TSE.2005.37;
article;Janzen, David and Saiedian, Hossein;Test-Driven Development: Concepts, Taxonomy, and Future Direction;2005;38;9;Computer;10.1109/MC.2005.314;
article;Vodde, Bas and Koskela, Lasse;Learning Test-Driven Development by Counting Lines;2007;24;3;IEEE Softw.;10.1109/MS.2007.80;
article;Leroy, Xavier;A Formally Verified Compiler Back-End;2009;43;4;J. Autom. Reason.;10.1007/s10817-009-9155-4;
article;Panvc;Impact of Test-Driven Development on Productivity, Code and Tests: A Controlled Experiment;2011;53;6;Inf. Softw. Technol.;10.1016/j.infsof.2011.02.002;
article;Dogvs;The Effectiveness of Test-Driven Development: An Industrial Case Study;2011;19;4;Software Quality Journal;10.1007/s11219-011-9130-2;
article;Latorre, Roberto;A Successful Application of a Test-Driven Development Strategy in the Industrial Environment;2014;19;3;Empirical Softw. Engg.;10.1007/s10664-013-9281-9;
conference paper;George, Boby and Williams, Laurie;An Initial Investigation of Test Driven Development in Industry;2003;Proceedings of the 2003 ACM Symposium on Applied Computing;10.1145/952532.952753;
conference paper;Leung, Karl R. P. H. and Yeung, W. L.;Generating User Acceptance Test Plans from Test Cases;2007;Proceedings of the 31st Annual International Computer Software and Applications Conference - Volume 02;10.1109/COMPSAC.2007.125;
conference paper;Hammond, Susan and Umphress, David;Test Driven Development: The State of the Practice;2012;Proceedings of the 50th Annual Southeast Regional Conference;10.1145/2184512.2184550;
conference paper;Munir, Hussan and Wnuk, Krzysztof and Petersen, Kai and Moayyed, Misagh;An Experimental Evaluation of Test Driven Development vs. Test-Last Development with Industry Professionals;2014;Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering;10.1145/2601248.2601267;
conference paper;Santos, Ernani Cesar Dos and Vilain, Patricia and Longo, Douglas Hiura;A Systematic Literature Review to Support the Selection of User Acceptance Testing Techniques;2018;Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings;10.1145/3183440.3195036;
conference paper;Tosun, Ayse and Ahmed, Muzamil and Turhan, Burak and Juristo, Natalia;On the Effectiveness of Unit Tests in Test-Driven Development;2018;Proceedings of the 2018 International Conference on Software and System Process;10.1145/3202710.3203153;
